               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039128,            0.034079,            0.087251,             0.69648,             0.64146,             0.68329,             0.44089,            0.034484,            0.019385,            0.080944,           0.0082675,           0.0082675,           0.0082675
                  37,            0.039153,            0.034117,             0.08718,             0.71083,             0.64261,             0.68911,             0.44796,            0.034319,            0.019333,            0.080842,            0.008218,            0.008218,            0.008218
                  38,            0.038931,            0.034134,            0.087058,             0.70272,             0.65379,             0.69106,             0.44984,            0.034124,            0.019266,            0.080822,           0.0081685,           0.0081685,           0.0081685
                  39,            0.038715,            0.033917,            0.086949,             0.71182,             0.64711,              0.6935,             0.45364,            0.034013,            0.019212,            0.080782,            0.008119,            0.008119,            0.008119
                  40,            0.038397,            0.033854,            0.086541,             0.72315,             0.64684,             0.69889,             0.45903,            0.033889,            0.019119,            0.080657,           0.0080695,           0.0080695,           0.0080695
                  41,            0.038464,            0.033726,            0.086712,             0.73337,             0.65042,               0.702,             0.46219,            0.033802,            0.019058,            0.080637,             0.00802,             0.00802,             0.00802
                  42,            0.038068,            0.033614,            0.086396,             0.72848,             0.65356,             0.70406,             0.46425,            0.033644,            0.019055,            0.080566,           0.0079705,           0.0079705,           0.0079705
                  43,            0.038071,            0.033377,            0.086136,             0.73049,             0.65752,             0.70677,             0.46752,            0.033546,             0.01902,            0.080472,            0.007921,            0.007921,            0.007921
                  44,            0.037979,            0.033414,            0.086173,             0.73614,             0.66004,             0.71227,             0.47259,            0.033432,            0.018936,            0.080343,           0.0078715,           0.0078715,           0.0078715
                  45,            0.037657,            0.033238,            0.085965,             0.73617,             0.66798,             0.71568,             0.47678,            0.033276,            0.018877,            0.080233,            0.007822,            0.007822,            0.007822
                  46,            0.037696,            0.033028,             0.08573,             0.73901,             0.66611,             0.71901,             0.47989,            0.033153,            0.018841,            0.080137,           0.0077725,           0.0077725,           0.0077725
                  47,            0.037608,            0.033022,            0.085784,             0.75183,             0.65959,             0.72137,             0.48223,            0.033112,            0.018808,            0.080106,            0.007723,            0.007723,            0.007723
                  48,            0.037429,            0.033121,            0.085837,              0.7442,             0.66794,             0.72399,             0.48472,            0.033019,            0.018764,            0.080043,           0.0076735,           0.0076735,           0.0076735
                  49,            0.037233,            0.033284,             0.08552,             0.74348,              0.6703,             0.72537,             0.48686,            0.032949,            0.018729,            0.079988,            0.007624,            0.007624,            0.007624
                  50,            0.037078,             0.03312,            0.085272,             0.74242,             0.67471,             0.72748,             0.48916,            0.032877,            0.018696,            0.079944,           0.0075745,           0.0075745,           0.0075745
                  51,             0.03685,            0.032828,            0.085302,             0.74002,             0.68096,             0.72997,             0.49144,            0.032815,            0.018676,            0.079915,            0.007525,            0.007525,            0.007525
                  52,            0.036919,            0.032716,            0.085127,             0.73637,             0.68558,             0.73162,             0.49358,            0.032712,            0.018649,            0.079868,           0.0074755,           0.0074755,           0.0074755
                  53,            0.036631,            0.032652,             0.08512,             0.73976,             0.68433,             0.73298,             0.49628,            0.032631,            0.018614,            0.079828,            0.007426,            0.007426,            0.007426
