               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.053816,            0.051531,            0.044648,             0.77348,             0.15345,             0.13894,             0.07911,            0.050088,            0.049899,            0.043719,            0.006436,            0.006436,            0.006436
                  38,            0.053487,            0.052035,            0.044657,             0.77241,             0.14666,              0.1394,            0.078438,            0.049972,            0.049905,            0.043711,            0.006337,            0.006337,            0.006337
                  39,            0.053436,            0.052042,            0.044409,             0.78026,             0.15084,             0.14151,            0.080574,             0.04991,            0.049807,            0.043677,            0.006238,            0.006238,            0.006238
                  40,            0.052956,            0.051333,            0.044412,             0.78306,              0.1422,             0.14197,            0.081028,            0.049742,            0.049646,            0.043656,            0.006139,            0.006139,            0.006139
                  41,            0.052991,            0.051208,             0.04442,             0.77956,              0.1476,             0.14125,             0.08066,            0.049673,            0.049583,            0.043639,             0.00604,             0.00604,             0.00604
                  42,            0.052853,            0.051333,            0.044554,              0.7787,             0.15001,             0.14265,            0.081501,            0.049542,            0.049466,            0.043623,            0.005941,            0.005941,            0.005941
                  43,            0.052669,            0.050817,            0.044389,             0.78056,             0.15162,             0.14355,            0.082073,            0.049342,            0.049267,            0.043586,            0.005842,            0.005842,            0.005842
                  44,            0.052614,            0.050919,            0.044354,             0.77623,             0.15299,             0.14525,             0.08322,             0.04924,             0.04927,            0.043621,            0.005743,            0.005743,            0.005743
                  45,             0.05246,             0.05063,            0.044419,              0.7872,             0.14369,             0.14611,            0.083115,             0.04911,            0.049245,            0.043571,            0.005644,            0.005644,            0.005644
                  46,            0.052287,            0.050934,            0.044413,             0.79209,               0.148,             0.14579,            0.083497,             0.04907,            0.049153,            0.043542,            0.005545,            0.005545,            0.005545
                  47,            0.052361,            0.051268,            0.044465,             0.78251,             0.14876,             0.14678,            0.084553,             0.04892,            0.049035,            0.043495,            0.005446,            0.005446,            0.005446
                  48,            0.052334,            0.051366,             0.04434,             0.77774,             0.15161,              0.1525,            0.086404,            0.048896,             0.04895,            0.043569,            0.005347,            0.005347,            0.005347
